ts,open,high,low,close,ret1,ret3,ret6,atr_rel,body_rel,vol_log1p,footprint_raw,footprint_z,fh,fl,cross_up,cross_dn,in_bull_fvg,in_bear_fvg,fvg_width,htf_ret1,htf_atr_rel,htf_vol_log1p,htf_sweep_long,htf_sweep_short,htf_in_bull_fvg,htf_in_bear_fvg,htf_fvg_width,htf_age_long,htf_age_short,htf_long_bias,htf_short_bias,long_setup,short_setup,long_ret,short_ret,long_hold_bars,short_hold_bars,y
2024-02-16 08:10:00+00:00,20.056135,20.0564,20.045900000000003,20.046,-0.0004978563755407839,-0.0003191637908679379,-0.0006754887322997227,0.00037532600437568036,-1.3470613375960538,0.06734083956192972,-0.0211199996265349,-1.5677656858076183,0,1,0,1,0,0,0.00016711563404157214,-9.724521752996207e-05,0.0011048066987320532,0.9245286956899763,0,1,0,0,0.0001603455284044569,86.0,2.0,0,1,False,True,0.0,-0.0005836575875486361,1,15,0
2024-02-16 08:15:00+00:00,20.04555,20.0535,20.04395,20.049985,0.000198792776613832,-0.00020519494766646496,-0.0005266555503213866,0.00038872583059553173,0.5690313211196715,0.08513127588250544,0.0102599997626384,0.29471878342109276,1,0,0,0,0,0,0.00016708241926352338,-9.724521752996207e-05,0.0011048066987320532,0.9245286956899763,0,1,0,0,0.0001603455284044569,87.0,3.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 08:20:00+00:00,20.04995,20.0521,20.046285,20.04655,-0.00017132182393153617,-0.000470433140032811,-0.000605722205327508,0.0003756300940999307,-0.4515219798320342,0.21474033991092814,0.0194799993769265,0.778414233040087,0,0,0,1,0,0,0.00016711104903324286,-9.724521752996207e-05,0.0011048066987320532,0.9245286956899763,0,1,0,0,0.0001603455284044569,88.0,4.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 08:25:00+00:00,20.046615,20.05335,20.046,20.0503,0.00018706460712691886,0.000214506634740097,-0.00010472561887842069,0.000374362268951665,0.490935622970854,0.054412423679872784,0.0067199998447904,-0.00026550206531299935,0,1,0,0,0,0,0.00016707979431716008,-9.724521752996207e-05,0.0011048066987320532,0.9245286956899763,0,1,0,0,0.0001603455284044569,89.0,5.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 08:30:00+00:00,20.0499,20.05195,20.046100000000003,20.0493,-4.9874565467900034e-05,-3.416461408822791e-05,-0.00023935255134854838,0.00036336758362335984,-0.08235801206068942,0.218396297237957,0.0299399991636164,1.23135864751241,0,0,0,0,0,0,0.00016708812776492722,-9.724521752996207e-05,0.0011048066987320532,0.9245286956899763,0,1,0,0,0.0001603455284044569,90.0,6.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 08:35:00+00:00,20.049285,20.0501,20.0464,20.0498,2.4938526532292116e-05,0.00016212265951009996,-0.00030838674839450686,0.0003395161182868706,0.07565485221102777,0.1113445736739377,0.0137699996412266,0.25282287130111836,1,1,0,0,0,0,0.00016708396093713428,-9.724521752996207e-05,0.0011048066987320532,0.9245286956899763,0,1,0,0,0.0001603455284044569,91.0,7.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 08:40:00+00:00,20.0496,20.052100000000003,20.0463,20.0518,9.975161846997871e-05,7.481184820168352e-05,0.00028933453057966574,0.00033278473250804817,0.32969011270858123,0.03840307038370761,0.0036299999628681,-0.38420854917541136,0,0,0,0,0,0,0.0001670672957039944,-9.724521752996207e-05,0.0011048066987320532,0.9245286956899763,0,1,0,0,0.0001603455284044569,92.0,8.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 08:45:00+00:00,20.052,20.0571,20.0516,20.053600000000003,8.976750216960205e-05,0.0002144713281762023,0.00018029938675789836,0.0003249562096613029,0.2455289995143963,0.04808515295704833,0.0044399998587323,-0.30208933379652114,0,0,1,0,0,0,7.479953724019538e-05,-9.724521752996207e-05,0.0011048066987320532,0.9245286956899763,0,1,0,0,0.0001603455284044569,93.0,9.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 08:50:00+00:00,20.0531,20.0531,20.039165,20.04235,-0.0005609965293016383,-0.0003715747788008983,-0.0002095123599822335,0.00037781678628448983,-1.4196411279320917,0.14447256661742558,-0.0270899992028716,-1.8742559012653537,0,1,0,1,0,0,7.484152307488803e-05,-9.724521752996207e-05,0.0011048066987320532,0.9245286956899763,0,1,0,0,0.0001603455284044569,94.0,10.0,0,1,False,True,0.0,-0.0007658782527997232,1,7,0
2024-02-16 08:55:00+00:00,20.04245,20.05125,20.04035,20.05045,0.00040414422460455235,-6.732562662692398e-05,7.4811848203015785e-06,0.0003997927609792768,0.998000908699299,0.2581785900589607,0.0447599990002345,1.7414164852506384,1,0,0,0,0,0,1.7455967322476214e-05,-9.724521752996207e-05,0.0011048066987320532,0.9245286956899763,0,1,0,0,0.0001603455284044569,95.0,11.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 09:00:00+00:00,20.050600000000003,20.05235,20.0477,20.05235,9.476096546467971e-05,-6.23329477003054e-05,0.0001521250118459161,0.00037737329851414913,0.2312605767450875,0.06540377034289435,0.0078899997315602,-0.10637323020899865,0,1,0,0,0,0,1.745431333489308e-05,4.239306349740346e-05,0.0011050799005341237,0.945927190059439,0,1,0,0,0.000160338731154446,96.0,0.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 09:05:00+00:00,20.05245,20.0542,20.0497,20.0497,-0.00013215408667810458,0.0003667234630670979,-4.987580923487833e-06,0.00035702572112295103,-0.38417164746014104,0.014681694192895603,-0.0023099999671103,-0.58858186584611,0,0,0,0,0,0,1.7456620298605128e-05,4.239306349740346e-05,0.0011050799005341237,0.945927190059439,0,1,0,0,0.000160338731154446,97.0,1.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 09:10:00+00:00,20.0495,20.0519,20.04465,20.04475,-0.0002468864870796006,-0.0002842828963939281,-0.0003515893834967754,0.00035772413162343347,-0.662437222248319,0.10499044525616011,-0.0231599995895521,-1.4745534532725246,0,0,0,0,0,0,1.7460931166561977e-05,4.239306349740346e-05,0.0011050799005341237,0.945927190059439,0,1,0,0,0.000160338731154446,98.0,2.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 09:15:00+00:00,20.04465,20.04985,20.0427,20.0479,0.00015714838049851743,-0.00022191912668600988,-0.000284238241513024,0.00035753164582711934,0.4534192825903238,0.1427834573420697,0.0320399993070168,1.2711003303478687,1,0,0,0,0,0,1.7458187640647813e-05,4.239306349740346e-05,0.0011050799005341237,0.945927190059439,0,1,0,0,0.000160338731154446,99.0,3.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 09:20:00+00:00,20.04795,20.0492,20.045905,20.048335,2.1698033210615364e-05,-6.808081916431785e-05,0.0002986176770689575,0.0003317677432096078,0.0578826305895052,0.16782532308312428,0.0407699991192203,1.723256607825022,0,0,0,0,0,0,1.7457808840531806e-05,4.239306349740346e-05,0.0011050799005341237,0.945927190059439,0,1,0,0,0.000160338731154446,100.0,4.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 09:25:00+00:00,20.048685,20.06185,20.048685,20.06185,0.0006741208185117031,0.0008530912084210307,0.0005685657927876342,0.0003771605681256631,1.7398972561007982,0.21706913637377034,0.0632699990819674,2.3161248580294065,0,1,1,0,0,0,1.7446048096309327e-05,4.239306349740346e-05,0.0011050799005341237,0.945927190059439,0,1,0,0,0.000160338731154446,101.0,5.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 09:30:00+00:00,20.06215,20.0649,20.0566,20.056765,-0.0002534661559129292,0.0004421909526683976,0.00022017369535221043,0.0003821320924801082,-0.7026051181896671,0.15003938009250473,-0.0417299989640014,-2.026592687624949,0,0,0,0,0,0,0.0003689528196596086,4.239306349740346e-05,0.0011050799005341237,0.945927190059439,0,1,0,0,0.000160338731154446,102.0,6.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 09:35:00+00:00,20.0566,20.05945,20.056515,20.059135,0.0001181646192693897,0.0005386981013635328,0.00047058060719118444,0.00035065100102541,0.3604048936943468,0.09693612845283542,-0.0057299999170936,-0.5688096415880094,0,0,0,0,0,0,0.00036890922764117935,4.239306349740346e-05,0.0011050799005341237,0.945927190059439,0,1,0,0,0.000160338731154446,103.0,7.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 09:40:00+00:00,20.059235,20.05945,20.053065,20.0546,-0.00022608153342607018,-0.0003613824248510644,0.0004914004914005066,0.0003464170314271885,-0.6671699830164047,0.04757037216397578,-0.0046799999690847,-0.5021794321900794,1,0,0,0,1,0,0.0003689926500653291,4.239306349740346e-05,0.0011050799005341237,0.945927190059439,0,1,0,0,0.000160338731154446,104.0,8.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 09:45:00+00:00,20.05495,20.05495,20.05065,20.0508,-0.0001894827121957654,-0.0002974058877390773,0.00014465355473647357,0.00032887903052904584,-0.6293325693374063,0.16363130782802357,-0.0308999991684686,-1.3874556271107616,0,0,0,0,0,0,7.805174855862583e-05,4.239306349740346e-05,0.0011050799005341237,0.945927190059439,0,1,0,0,0.000160338731154446,105.0,9.0,0,1,False,False,0.0,0.0,1,1,0
2024-02-16 09:50:00+00:00,20.05155,20.05455,20.051165,20.0528,9.974664352552232e-05,-0.0003158162104198725,0.00022271176135069126,0.0003099342391064696,0.20112471156088665,0.1473677250421652,-0.036299999046605,-1.5073736174756447,0,0,0,0,0,0,7.804396393517586e-05,4.239306349740346e-05,0.0011050799005341237,0.945927190059439,0,1,0,0,0.000160338731154446,106.0,10.0,0,1,False,False,0.0,0.0,1,1,0
