ts,symbol,side,cash_flow,cash_balance
2024-05-24 04:50:00+00:00,GBPUSD,buy,-1.269330900609283,0.020260611325629174
2024-05-24 07:00:00+00:00,GBPUSD,buy,-1.2699,-1.2496393886743709
2024-05-24 10:20:00+00:00,GBPUSD,sell,1.2718790023520443,0.022239613677673464
2024-05-24 10:35:00+00:00,GBPUSD,buy,-1.27222,-1.2499803863223264
2024-05-24 11:25:00+00:00,GBPUSD,sell,1.2713928285888418,0.021412442266515397
2024-05-24 11:35:00+00:00,GBPUSD,buy,-1.271795,-1.2503825577334846
2024-05-24 12:30:00+00:00,GBPUSD,sell,1.2713332826227874,0.02095072488930283
2024-05-24 12:40:00+00:00,GBPUSD,buy,-1.272145,-1.2511942751106973
2024-05-24 15:05:00+00:00,GBPUSD,sell,1.2744450147677546,0.023250739657057373
2024-05-24 15:35:00+00:00,GBPUSD,sell,1.27415,1.2974007396570573
2024-05-26 21:35:00+00:00,GBPUSD,buy,-1.273765,0.02363573965705723
2024-05-26 21:55:00+00:00,GBPUSD,buy,-1.274015,-1.2503792603429427
2024-05-26 23:30:00+00:00,GBPUSD,sell,1.2737410694491036,0.023361809106160925
2024-05-27 00:00:00+00:00,GBPUSD,buy,-1.2737500000000002,-1.2503881908938392
2024-05-27 06:00:00+00:00,GBPUSD,sell,1.273925,0.02353680910616074
2024-05-27 06:25:00+00:00,GBPUSD,buy,-1.274255,-1.2507181908938392
2024-05-27 08:00:00+00:00,GBPUSD,sell,1.2735445265513146,0.022826335657475383
2024-05-27 08:35:00+00:00,GBPUSD,buy,-1.274435,-1.2516086643425246
2024-05-27 13:25:00+00:00,GBPUSD,sell,1.276572724376896,0.02496406003437146
2024-05-27 15:30:00+00:00,GBPUSD,sell,1.277405,1.3023690600343714
2024-05-27 21:30:00+00:00,GBPUSD,buy,-1.27704,0.02532906003437141
2024-05-28 01:15:00+00:00,GBPUSD,buy,-1.277495,-1.2521659399656286
2024-05-28 06:55:00+00:00,GBPUSD,sell,1.2770143709599742,0.024848430994345527
2024-05-28 07:05:00+00:00,GBPUSD,buy,-1.27779,-1.2529415690056545
2024-05-28 07:15:00+00:00,GBPUSD,sell,1.2770140196386868,0.024072450633032316
2024-05-28 07:50:00+00:00,GBPUSD,buy,-1.277595,-1.2535225493669677
2024-05-28 08:15:00+00:00,GBPUSD,sell,1.2770567337314338,0.023534184364466082
2024-05-28 13:35:00+00:00,GBPUSD,sell,1.279205,1.302739184364466
2024-05-28 14:00:00+00:00,GBPUSD,buy,-1.2773539093261357,0.025385275038330324
2024-05-28 14:35:00+00:00,GBPUSD,sell,1.27754,1.3029252750383302
2024-05-28 14:40:00+00:00,GBPUSD,buy,-1.278440853803288,0.02448442123504213
2024-05-28 15:00:00+00:00,GBPUSD,sell,1.277575,1.302059421235042
2024-05-28 15:50:00+00:00,GBPUSD,buy,-1.278443466591189,0.02361595464385302
